id,Product,ProductCategory,SalesRep,Units,Cost,Region
8826,"Brites Rubber Bands, 1 1/2 oz. Box",Rubber Bands,Greg Matthias,7461,1.98,British Columbia
8827,Adesso Programmable 142-Key Keyboard,Computer Peripherals,Maribeth Dona,9505,152.48,British Columbia
8828,PC Concepts 116 Key Quantum 3000 Keyboard,Computer Peripherals,Maribeth Dona,9505,32.98,British Columbia
8829,Acme® Preferred Stainless Steel Scissors,"Scissors, Rulers and Trimmers",Scott Cohen,9794,5.68,British Columbia
8830,DMI Eclipse Executive Suite Bookcases,Bookcases,Christopher Martinez,10148,500.98,British Columbia
8831,Xerox 1936,Paper,Eugene Moren,11045,19.98,British Columbia
8832,Acme® Preferred Stainless Steel Scissors,"Scissors, Rulers and Trimmers",Cynthia Delaney,11074,5.68,British Columbia
8833,3285,Telephones and Communication,Cynthia Delaney,11074,205.99,British Columbia
8834,Microsoft Natural Keyboard Elite,Computer Peripherals,Anthony Rawles,12449,39.98,British Columbia
8835,"IBM Numeric Access II Keypad, 17-Key, Black",Computer Peripherals,Lauren Leatherbury,14661,35.77,British Columbia
8836,"Avery® Durable Plastic 1"" Binders",Binders and Binder Accessories,Fred Harton,15303,4.54,British Columbia
8837,"Imation IBM Formatted Diskettes, 100/Pack",Computer Peripherals,Fred Harton,15303,28.48,British Columbia
8838,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Bookcases,Cathy Armstrong,15622,240.98,British Columbia
8839,Xerox 1993,Paper,Cathy Armstrong,15622,6.48,British Columbia
8840,Ibico Presentation Index for Binding Systems,Binders and Binder Accessories,Barry Blumstein,15778,3.98,British Columbia
8841,Multimedia Mailers,Envelopes,Eva Jacobs,16164,162.93,British Columbia
8842,"Binney & Smith inkTank™ Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Pens & Art Supplies,Eva Jacobs,16164,2.52,British Columbia
8843,Advantus Push Pins,Rubber Bands,Anthony Rawles,16166,2.18,British Columbia
8844,Belkin 6 Outlet Metallic Surge Strip,Appliances,Andrew Allen,16768,10.89,British Columbia
8845,Wirebound Voice Message Log Book,Paper,Scott Cohen,17313,4.76,British Columbia
8846,Xerox 1939,Paper,Carol Darley,17447,18.97,British Columbia
8847,"AT&T Black Trimline Phone, Model 210",Office Machines,Lauren Leatherbury,18145,15.99,British Columbia
8848,Logitech Cordless Keyboard,Computer Peripherals,Eugene Moren,18215,34.99,British Columbia
8849,"GBC White Gloss Covers, Plain Front",Binders and Binder Accessories,Fred Harton,18598,14.48,British Columbia
8850,Luxo Professional Combination Clamp-On Lamps,Office Furnishings,Fred Harton,18598,102.3,British Columbia
8851,Holmes Odor Grabber,Appliances,Cynthia Delaney,19234,14.42,British Columbia
8852,Xerox 1959,Paper,Carol Darley,19555,6.68,British Columbia
8853,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Paper,Carol Darley,19555,9.11,British Columbia
8854,LX 788,Telephones and Communication,Eugene Moren,19843,155.99,British Columbia
8855,Accessory35,Telephones and Communication,Lauren Leatherbury,20646,35.99,British Columbia
8856,"Master Caster Door Stop, Gray",Office Furnishings,Carol Darley,21222,5.08,British Columbia
8857,Accessory27,Telephones and Communication,Carol Darley,21222,35.99,British Columbia
8858,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Binders and Binder Accessories,Fred Harton,22755,4.91,British Columbia
8859,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Binders and Binder Accessories,Fred Harton,22755,5.34,British Columbia
8860,Accessory6,Telephones and Communication,Fred Harton,22755,55.99,British Columbia
8861,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,Barry Blumstein,23136,218.08,British Columbia
8862,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,Barry Blumstein,23136,4.98,British Columbia
8863,Phone 918,Telephones and Communication,Cynthia Delaney,23685,205.99,British Columbia
8864,Eldon Cleatmat® Chair Mats for Medium Pile Carpets,Office Furnishings,Duane Noonan,23745,55.5,British Columbia
8865,Hon Rectangular Conference Tables,Tables,Duane Noonan,23745,227.55,British Columbia
8866,Fellowes Officeware™ Wire Shelving,Storage & Organization,Cathy Armstrong,25571,89.83,British Columbia
8867,Computer Printout Paper with Letter-Trim Perforations,Paper,Cynthia Delaney,26053,18.97,British Columbia
8868,US Robotics 56K V.92 Internal PCI Faxmodem,Computer Peripherals,Art Miller,26277,49.99,British Columbia
8869,Accessory39,Telephones and Communication,Art Miller,26374,20.99,British Columbia
8870,Keytronic French Keyboard,Computer Peripherals,Eva Jacobs,26944,73.98,British Columbia
8871,Carina Double Wide Media Storage Towers in Natural & Black,Storage & Organization,Fred Harton,27013,80.98,British Columbia
8872,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Storage & Organization,Fred Harton,27013,279.48,British Columbia
8873,Talkabout T8367,Telephones and Communication,Anthony O'Donnell,27904,65.99,British Columbia
8874,"Memorex 4.7GB DVD+RW, 3/Pack",Computer Peripherals,Art Foster,27974,28.48,British Columbia
8875,Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center,Appliances,Eva Jacobs,29767,90.24,British Columbia
8876,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",Computer Peripherals,Cathy Armstrong,29826,17.98,British Columbia
8877,Xerox 1905,Paper,Barry Blumstein,30566,6.48,British Columbia
8878,T60,Telephones and Communication,Andrew Allen,30852,95.99,British Columbia
8879,Nu-Dell Leatherette Frames,Office Furnishings,Christopher Martinez,31204,14.34,British Columbia
8880,OIC Thumb-Tacks,Rubber Bands,Christopher Martinez,31204,1.14,British Columbia
8881,GBC DocuBind P100 Manual Binding Machine,Binders and Binder Accessories,Andrew Allen,32513,165.98,British Columbia
8882,Sanford Pocket Accent® Highlighters,Pens & Art Supplies,Andrew Allen,32513,1.6,British Columbia
8883,GBC Standard Plastic Binding Systems Combs,Binders and Binder Accessories,Fred Harton,32641,8.85,British Columbia
8884,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Storage & Organization,Anthony Rawles,33729,279.48,British Columbia
8885,Accessory6,Telephones and Communication,Barry Blumstein,34083,55.99,British Columbia
8886,Lexmark 4227 Plus Dot Matrix Printer,Office Machines,Greg Matthias,34275,2036.48,British Columbia
8887,Staples Colored Interoffice Envelopes,Envelopes,Carol Darley,34532,30.98,British Columbia
8888,Okidata Pacemark 4410N Wide Format Dot Matrix Printer,Office Machines,Lauren Leatherbury,35139,3502.14,British Columbia
8889,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Pens & Art Supplies,Lauren Leatherbury,35139,34.58,British Columbia
8890,Portable Personal File Box,Storage & Organization,Lauren Leatherbury,35139,12.21,British Columbia
8891,Xerox 1928,Paper,Barry Blumstein,35239,5.28,British Columbia
8892,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Storage & Organization,Barry Blumstein,35239,59.76,British Columbia
8893,Fiskars® Softgrip Scissors,"Scissors, Rulers and Trimmers",Cynthia Delaney,35875,10.98,British Columbia
8894,Binder Clips by OIC,Rubber Bands,Sanjit Jacobs,37125,1.48,British Columbia
8895,Xerox 210,Paper,Anthony O'Donnell,37158,6.48,British Columbia
8896,SAFCO Optional Arm Kit for Workspace® Cribbage Stacking Chair,Chairs & Chairmats,Fred Harton,37380,26.64,British Columbia
8897,Xerox 1896,Paper,Fred Harton,37380,9.99,British Columbia
8898,"Acco Clips to Go™ Binder Clips, 24 Clips in Two Sizes",Rubber Bands,Fred Harton,37380,3.55,British Columbia
8899,"Fellowes Smart Surge Ten-Outlet Protector, Platinum",Appliances,Anthony O'Donnell,37445,60.22,British Columbia
8900,Avery White Multi-Purpose Labels,Labels,Eva Jacobs,38212,4.98,British Columbia
8901,"Carina 42""Hx23 3/4""W Media Storage Unit",Storage & Organization,Eva Jacobs,38212,80.98,British Columbia
8902,StarTAC 7797,Telephones and Communication,Eva Jacobs,38212,115.99,British Columbia
8903,Targus USB Numeric Keypad,Computer Peripherals,Ken Lonsdale,38240,40.98,British Columbia
8904,Xerox 21,Paper,Duane Noonan,38661,6.48,British Columbia
8905,Accessory31,Telephones and Communication,Duane Noonan,38661,35.99,British Columbia
8906,Electrix Halogen Magnifier Lamp,Office Furnishings,Eva Jacobs,39110,194.3,British Columbia
8907,Holmes 99% HEPA Air Purifier,Appliances,Lauren Leatherbury,39235,21.66,British Columbia
8908,"Advantus Push Pins, Aluminum Head",Rubber Bands,Greg Matthias,39270,5.81,British Columbia
8909,Self-Adhesive Ring Binder Labels,Binders and Binder Accessories,Lauren Leatherbury,39586,3.52,British Columbia
8910,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Binders and Binder Accessories,Greg Matthias,39812,8.04,British Columbia
8911,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Envelopes,Art Foster,40673,10.94,British Columbia
8912,Hewlett Packard LaserJet 3310 Copier,Copiers and Fax,Art Miller,41413,599.99,British Columbia
8913,Dana Halogen Swing-Arm Architect Lamp,Office Furnishings,Art Miller,41413,40.97,British Columbia
8914,Xerox 2,Paper,Art Miller,41413,6.48,British Columbia
8915,Flexible Leather- Look Classic Collection Ring Binder,Binders and Binder Accessories,Art Miller,41824,18.94,British Columbia
8916,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Pens & Art Supplies,Art Miller,41824,2.98,British Columbia
8917,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Tables,Ken Lonsdale,42628,349.45,British Columbia
8918,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Appliances,Fred Harton,42722,48.92,British Columbia
8919,"Eldon® Expressions™ Wood Desk Accessories, Oak",Office Furnishings,Fred Harton,42722,7.38,British Columbia
8920,V66,Telephones and Communication,Anthony Rawles,42753,115.99,British Columbia
8921,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Storage & Organization,Lauren Leatherbury,43013,34.76,British Columbia
8922,Accessory39,Telephones and Communication,Greg Matthias,44198,20.99,British Columbia
8923,Avery Reinforcements for Hole-Punch Pages,Binders and Binder Accessories,Eva Jacobs,44451,1.98,British Columbia
8924,3390,Telephones and Communication,Greg Matthias,44576,65.99,British Columbia
8925,Xerox Blank Computer Paper,Paper,Anthony Rawles,44834,19.98,British Columbia
8926,"Bevis Round Bullnose 29"" High Table Top",Tables,Anthony Rawles,44834,259.71,British Columbia
8927,Accessory34,Telephones and Communication,Ken Lonsdale,46053,85.99,British Columbia
8928,Newell 309,Pens & Art Supplies,Greg Matthias,47329,11.55,British Columbia
8929,Xerox 1949,Paper,Greg Matthias,47329,4.98,British Columbia
8930,"Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper",Paper,Christopher Martinez,47461,8.17,British Columbia
8931,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,Christopher Martinez,47461,8.69,British Columbia
8932,SANFORD Major Accent™ Highlighters,Pens & Art Supplies,Christopher Martinez,47461,7.08,British Columbia
8933,Logitech Access Keyboard,Computer Peripherals,Anthony Rawles,47525,15.98,British Columbia
8934,Acme® Box Cutter Scissors,"Scissors, Rulers and Trimmers",Christopher Martinez,48803,10.23,British Columbia
8935,"Executive Impressions 12"" Wall Clock",Office Furnishings,Fred Harton,49027,17.67,British Columbia
8936,SAFCO Arco Folding Chair,Chairs & Chairmats,Carol Darley,50822,276.2,British Columbia
8937,"Imation Neon Mac Format Diskettes, 10/Pack",Computer Peripherals,Carol Darley,50822,8.12,British Columbia
8938,Xerox 1950,Paper,Lauren Leatherbury,51714,5.78,British Columbia
8939,Storex Dura Pro™ Binders,Binders and Binder Accessories,Anthony Rawles,51815,5.94,British Columbia
8940,270c,Telephones and Communication,Anthony Rawles,51815,125.99,British Columbia
8941,"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack",Computer Peripherals,Art Foster,51906,8.46,British Columbia
8942,"Sony IBM Color Diskettes, 25/Pack",Computer Peripherals,Sanjit Jacobs,52128,0.99,British Columbia
8943,"Imation Primaris 3.5"" 2HD Unformatted Diskettes, 10/Pack",Computer Peripherals,Christopher Martinez,52675,4.77,British Columbia
8944,Newell 327,Pens & Art Supplies,Christopher Martinez,52675,2.21,British Columbia
8945,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Paper,Duane Noonan,53189,6.48,British Columbia
8946,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Binders and Binder Accessories,Lauren Leatherbury,54307,4.91,British Columbia
8947,Sharp AL-1530CS Digital Copier,Copiers and Fax,Anthony Rawles,54917,499.99,British Columbia
8948,Plymouth Boxed Rubber Bands by Plymouth,Rubber Bands,Eva Jacobs,56930,4.71,British Columbia
8949,Avery 498,Labels,Duane Noonan,57511,2.89,British Columbia
8950,Accessory6,Telephones and Communication,Duane Noonan,57511,55.99,British Columbia
8951,3M Polarizing Light Filter Sleeves,Office Furnishings,Anthony Rawles,57857,18.65,British Columbia
8952,Avery Durable Binders,Binders and Binder Accessories,Anthony Rawles,57861,2.88,British Columbia
8953,Kensington 7 Outlet MasterPiece® HOMEOFFICE Power Control Center,Appliances,Christopher Martinez,58247,131.12,British Columbia
8954,Xerox 213,Paper,Christopher Martinez,58247,6.48,British Columbia
8955,Kensington 4 Outlet MasterPiece® Compact Power Control Center,Appliances,Barry Blumstein,58470,81.32,British Columbia
8956,"""While you Were Out"" Message Book, One Form per Page",Paper,Barry Blumstein,58470,3.71,British Columbia
8957,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Paper,Barry Blumstein,58470,6.48,British Columbia
8958,Computer Printout Paper with Letter-Trim Perforations,Paper,Barry Blumstein,58470,18.97,British Columbia
8959,Fellowes Bankers Box™ Stor/Drawer® Steel Plus™,Storage & Organization,Barry Blumstein,58470,31.98,British Columbia
8960,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Paper,Andrew Allen,58759,8.01,British Columbia
8961,Okidata ML184 Turbo Dot Matrix Printers,Office Machines,Art Foster,59780,306.14,British Columbia
8962,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Bookcases,Ricardo Block,358,48.58,Alberta
8963,"80 Minute CD-R Spindle, 100/Pack - Staples",Computer Peripherals,Ricardo Block,358,39.48,Alberta
8964,Plymouth Boxed Rubber Bands by Plymouth,Rubber Bands,Roger Barcio,1767,4.71,Alberta
8965,Bevis Steel Folding Chairs,Chairs & Chairmats,Sung Pak,1863,95.95,Alberta
8966,Newell 315,Pens & Art Supplies,Tim Brockman,2915,5.98,Alberta
8967,Microsoft Natural Keyboard Elite,Computer Peripherals,Tim Brockman,2915,39.98,Alberta
8968,GBC DocuBind 200 Manual Binding Machine,Binders and Binder Accessories,Sung Pak,3046,420.98,Alberta
8969,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",Binders and Binder Accessories,Victoria Pisteka,4389,5.34,Alberta
8970,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Chairs & Chairmats,Victoria Pisteka,4389,160.98,Alberta
8971,2190,Telephones and Communication,Victoria Pisteka,4389,65.99,Alberta
8972,StarTAC 7760,Telephones and Communication,Sung Chung,6180,65.99,Alberta
8973,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Appliances,Ricardo Block,7078,11.33,Alberta
8974,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,Ricardo Block,7078,3.36,Alberta
8975,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,Ricardo Block,7078,122.99,Alberta
8976,"GE 4 Foot Flourescent Tube, 40 Watt",Office Furnishings,Ricardo Block,7078,14.98,Alberta
8977,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Labels,Resi Polking,7654,4.13,Alberta
8978,Southworth 25% Cotton Premium Laser Paper and Envelopes,Paper,Roger Demir,7746,19.98,Alberta
8979,GBC Wire Binding Strips,Binders and Binder Accessories,Tamara Manning,8387,31.74,Alberta
8980,3390,Telephones and Communication,Resi Polking,8768,65.99,Alberta
8981,7160,Telephones and Communication,Sung Pak,9504,140.99,Alberta
8982,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,Sung Pak,10341,145.45,Alberta
8983,Flexible Leather- Look Classic Collection Ring Binder,Binders and Binder Accessories,Sung Chung,10982,18.94,Alberta
8984,GBC Therma-A-Bind 250T Electric Binding System,Binders and Binder Accessories,Sung Chung,10982,122.99,Alberta
8985,OIC Thumb-Tacks,Rubber Bands,Sung Chung,10982,1.14,Alberta
8986,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Envelopes,Victoria Pisteka,11014,7.64,Alberta
8987,Accessory41,Telephones and Communication,Resi Polking,14176,35.99,Alberta
8988,Xerox 196,Paper,Sung Pak,14497,5.78,Alberta
8989,Xerox 1932,Paper,Tim Brockman,15074,35.44,Alberta
8990,Tuff Stuff™ Recycled Round Ring Binders,Binders and Binder Accessories,Resi Polking,15104,4.82,Alberta
8991,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Paper,Sue Ann Reed,16834,7.04,Alberta
8992,"Imation 3.5 IBM Formatted Diskettes, 10/Box",Computer Peripherals,Resi Polking,17445,8.32,Alberta
8993,Gyration Ultra Professional Cordless Optical Suite,Computer Peripherals,Tamara Manning,18593,300.97,Alberta
8994,KI Conference Tables,Tables,Tamara Manning,18593,70.89,Alberta
8995,"Global Leather Task Chair, Black",Chairs & Chairmats,Tamara Manning,19652,89.99,Alberta
8996,TIMEPORT P8767,Telephones and Communication,Tamara Manning,19652,65.99,Alberta
8997,Xerox 1963,Paper,Roger Demir,20743,5.28,Alberta
8998,"GBC Laser Imprintable Binding System Covers, Desert Sand",Binders and Binder Accessories,Roger Demir,21862,14.27,Alberta
8999,Polycom ViewStation™ ISDN Videoconferencing Unit,Office Machines,Roger Demir,21862,6783.02,Alberta
9000,"Avery Hi-Liter® EverBold™ Pen Style Fluorescent Highlighters, 4/Pack",Pens & Art Supplies,Roger Demir,21862,8.14,Alberta
9001,Bagged Rubber Bands,Rubber Bands,Ricardo Block,22787,1.26,Alberta
9002,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,Tim Brockman,23170,218.08,Alberta
9003,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,Resi Polking,23328,145.45,Alberta
9004,Staples 6 Outlet Surge,Appliances,Roger Barcio,24260,11.97,Alberta
9005,Fellowes Bases and Tops For Staxonsteel®/High-Stak® Systems,Storage & Organization,Sung Pak,24261,33.29,Alberta
9006,Westinghouse Clip-On Gooseneck Lamps,Office Furnishings,Resi Polking,26054,8.37,Alberta
9007,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Bookcases,John Murray,27750,58.14,Alberta
9008,Canon PC940 Copier,Copiers and Fax,John Murray,27750,449.99,Alberta
9009,"GBC Laser Imprintable Binding System Covers, Desert Sand",Binders and Binder Accessories,Shaun Chance,27872,14.27,Alberta
9010,GBC Wire Binding Strips,Binders and Binder Accessories,Sung Pak,31109,31.74,Alberta
9011,Keytronic French Keyboard,Computer Peripherals,John Murray,32165,73.98,Alberta
9012,Accessory4,Telephones and Communication,John Murray,32165,85.99,Alberta
9013,"Seth Thomas 12"" Clock w/ Goldtone Case",Office Furnishings,Darren Powers,32325,22.98,Alberta
9014,Avery 484,Labels,Shaun Chance,32931,2.88,Alberta
9015,Eldon Simplefile® Box Office®,Storage & Organization,Shaun Chance,32931,12.44,Alberta
9016,Belkin MediaBoard 104- Keyboard,Computer Peripherals,Roger Demir,33189,27.48,Alberta
9017,Riverleaf Stik-Withit® Designer Note Cubes®,Paper,Roger Demir,33189,10.06,Alberta
9018,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Binders and Binder Accessories,Penelope Sewall,33479,15.01,Alberta
9019,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",Paper,Penelope Sewall,33479,8.56,Alberta
9020,Newell 342,Pens & Art Supplies,Mike Pelletier,34311,3.28,Alberta
9021,Eldon Shelf Savers™ Cubes and Bins,Storage & Organization,Mike Pelletier,34311,6.98,Alberta
9022,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Envelopes,Sung Pak,35111,23.99,Alberta
9023,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Bookcases,Mike Pelletier,35173,240.98,Alberta
9024,StarTAC ST7762,Telephones and Communication,Mike Pelletier,35173,125.99,Alberta
9025,Ames Color-File® Green Diamond Border X-ray Mailers,Envelopes,John Murray,36773,83.98,Alberta
9026,Avery 494,Labels,Tim Brockman,36997,2.61,Alberta
9027,GBC Therma-A-Bind 250T Electric Binding System,Binders and Binder Accessories,Shaun Chance,37700,122.99,Alberta
9028,OIC Thumb-Tacks,Rubber Bands,Darren Powers,38529,1.14,Alberta
9029,Xerox 1934,Paper,Penelope Sewall,40162,55.98,Alberta
9030,Newell 327,Pens & Art Supplies,Shaun Chance,40612,2.21,Alberta
9031,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Tables,Shaun Chance,41987,320.64,Alberta
9032,Hon Olson Stacker Stools,Chairs & Chairmats,Sue Ann Reed,42083,140.81,Alberta
9033,Xerox 1894,Paper,Sue Ann Reed,42083,6.48,Alberta
9034,Kleencut® Forged Office Shears by Acme United Corporation,"Scissors, Rulers and Trimmers",Sue Ann Reed,42083,2.08,Alberta
9035,T39m,Telephones and Communication,Tim Brockman,42151,155.99,Alberta
9036,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Binders and Binder Accessories,Sung Chung,42658,5.28,Alberta
9037,Telescoping Adjustable Floor Lamp,Office Furnishings,Tamara Manning,43911,19.99,Alberta
9038,Panasonic KX-P1131 Dot Matrix Printer,Office Machines,Tamara Manning,43911,264.98,Alberta
9039,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Chairs & Chairmats,Tamara Manning,43911,320.98,Alberta
9040,US Robotics 56K V.92 External Faxmodem,Computer Peripherals,Shaun Chance,44005,99.99,Alberta
9041,Xerox 1899,Paper,Tom Prescott,44486,5.78,Alberta
9042,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pens & Art Supplies,Roger Demir,45284,11.66,Alberta
9043,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Bookcases,Shaun Chance,45668,81.94,Alberta
9044,Holmes 99% HEPA Air Purifier,Appliances,Resi Polking,46023,21.66,Alberta
9045,Eldon Cleatmat® Chair Mats for Medium Pile Carpets,Office Furnishings,John Murray,46533,55.5,Alberta
9046,StarTAC 7760,Telephones and Communication,John Murray,46533,65.99,Alberta
9047,"Hot File® 7-Pocket, Floor Stand",Storage & Organization,Tim Brockman,48321,178.47,Alberta
9048,Eldon Jumbo ProFile™ Portable File Boxes Graphite/Black,Storage & Organization,Penelope Sewall,48673,15.31,Alberta
9049,Flexible Leather- Look Classic Collection Ring Binder,Binders and Binder Accessories,Roger Demir,48742,18.94,Alberta
9050,"Peel & Seel® Recycled Catalog Envelopes, Brown",Envelopes,Sharelle Roach,48998,11.58,Alberta
9051,Xerox 210,Paper,Darren Powers,50246,6.48,Alberta
9052,Nu-Form 106-Key Ergonomic Keyboard w/ Touchpad,Computer Peripherals,Tom Prescott,51200,53.98,Alberta
9053,"Sauder Forest Hills Library, Woodland Oak Finish",Bookcases,Tim Brockman,51271,140.98,Alberta
9054,Phone 918,Telephones and Communication,Tim Brockman,51271,205.99,Alberta
9055,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,Tom Prescott,51297,8.69,Alberta
9056,Xerox 1891,Paper,Tamara Manning,51842,48.91,Alberta
9057,Tennsco Regal Shelving Units,Storage & Organization,Tamara Manning,51842,101.41,Alberta
9058,Accessory34,Telephones and Communication,Sharelle Roach,51968,85.99,Alberta
9059,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",Tables,Pauline Webber,52578,217.85,Alberta
9060,Hon 2111 Invitation™ Series Corner Table,Tables,Pauline Webber,52578,209.37,Alberta
9061,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Envelopes,Sharelle Roach,53027,35.89,Alberta
9062,Canon PC-428 Personal Copier,Copiers and Fax,Resi Polking,54214,199.99,Alberta
9063,Gyration Ultra Cordless Optical Suite,Computer Peripherals,Pauline Webber,54342,100.97,Alberta
9064,*Staples* Highlighting Markers,Pens & Art Supplies,Pauline Webber,54342,4.84,Alberta
9065,"Avery® Durable Plastic 1"" Binders",Binders and Binder Accessories,Tamara Manning,54656,4.54,Alberta
9066,Xerox 1930,Paper,Shaun Chance,54949,6.48,Alberta
9067,"Tennsco Lockers, Gray",Storage & Organization,Shaun Chance,54949,20.98,Alberta
9068,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Office Furnishings,Darren Powers,55813,70.71,Alberta
9069,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Bookcases,Quincy Jones,56577,58.14,Alberta
9070,Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,Office Machines,Darren Powers,56834,80.97,Alberta
9071,Xerox 214,Paper,Darren Powers,56834,6.48,Alberta
9072,Bush Advantage Collection® Round Conference Table,Tables,Pauline Webber,57380,212.6,Alberta
9073,"Global Leather Task Chair, Black",Chairs & Chairmats,Tom Prescott,58722,89.99,Alberta
9074,Bionaire Personal Warm Mist Humidifier/Vaporizer,Appliances,Tamara Manning,58981,46.89,Alberta
9075,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,Binders and Binder Accessories,Shaun Chance,59686,5.8,Alberta
9076,Canon MP25DIII Desktop Whisper-Quiet Printing Calculator,Office Machines,Lindsay Castell,6791,51.98,Alberta
9077,"Dixon My First Ticonderoga Pencil, #2",Pens & Art Supplies,Adam Bellavance,9895,5.85,Alberta
9078,Adesso Programmable 142-Key Keyboard,Computer Peripherals,Ken Dana,11846,152.48,Alberta
9079,2300 Heavy-Duty Transfer File Systems by Perma,Storage & Organization,Ken Dana,11846,24.98,Alberta
9080,Keytronic French Keyboard,Computer Peripherals,Lindsay Castell,12450,73.98,Alberta
9081,Xerox 1887,Paper,Ken Dana,16518,18.97,Alberta
9082,Accessory34,Telephones and Communication,Ken Dana,16518,85.99,Alberta
9083,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Appliances,Adam Bellavance,17860,7.77,Alberta
9084,Holmes Odor Grabber,Appliances,Ken Dana,17952,14.42,Alberta
9085,Office Star Flex Back Scooter Chair with White Frame,Chairs & Chairmats,Adam Bellavance,18596,110.98,Alberta
9086,Avery 485,Labels,Adam Bellavance,18596,12.53,Alberta
9087,Honeywell Enviracaire® Portable HEPA Air Cleaner for up to 10 x 16 Room,Appliances,Lindsay Castell,21410,123.38,Alberta
9088,Deflect-O® Glasstique™ Clear Desk Accessories,Office Furnishings,Laurel Workman,22563,7.7,Alberta
9089,Staples® General Use 3-Ring Binders,Binders and Binder Accessories,Ken Dana,25318,1.88,Alberta
9090,Fellowes Mighty 8 Compact Surge Protector,Appliances,Laurel Workman,26688,20.27,Alberta
9091,Peel-Off® China Markers,Pens & Art Supplies,Laurel Workman,26688,9.93,Alberta
9092,Bush Advantage Collection® Racetrack Conference Table,Tables,Ken Dana,26881,424.21,Alberta
9093,Belkin F9M820V08 8 Outlet Surge,Appliances,Adam Bellavance,26887,42.98,Alberta
9094,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Binders and Binder Accessories,Adam Bellavance,26887,8.04,Alberta
9095,Accessory13,Telephones and Communication,Ken Dana,29761,35.99,Alberta
9096,3M Office Air Cleaner,Appliances,Ken Dana,29761,25.98,Alberta
